Year,Language,Count
1931,English,5914402
1931,French,2832298
1931,Lithuanian,5506
1931,Bulgarian,2661
1931,Chinese and Japanese,69281
1931,Croatian,10521
1931,Slovak,25099
1931,Dutch,26532
1931,Finnish,39965
1931,Flemish,18048
1931,German,362011
1931,Greek,7346
1931,Italian,85520
1931,Maygar (Hungarian),37959
1931,Polish,118599
1931,Romanian,18115
1931,Russian,50759
1931,Scandinavian,159854
1931,Danish,21453
1931,Icelandic,16034
1931,Norwegian,64125
1931,Swedish,58242
1931,Spanish,1472
1931,Syrian and Arabic,9226
1931,Ukrainian,252802
1931,Yiddish,149520
1941,English,6448190
1941,French,3354753
1941,Lithuanian,6910
1941,Gaelic,7533
1941,Chinese and Japanese,55859
1941,Chinese,33500
1941,Japanese,22359
1941,Croatian,14863
1941,Slovak,37604
1941,Dutch,53215
1941,Finnish,37331
1941,Flemish,14557
1941,German,322228
1941,Greek,8747
1941,Native Indian and Inuit,130929
1941,Italian,80260
1941,Maygar (Hungarian),46287
1941,Polish,128711
1941,Romanian,16402
1941,Russian,52431
1941,Scandinavian,143917
1941,Danish,18776
1941,Icelandic,15510
1941,Norwegian,60084
1941,Swedish,49547
1941,Spanish,1030
1941,Syrian and Arabic,8111
1941,Ukrainian,313273
1941,Yiddish,129806
1951,English,8280809
1951,French,4068850
1951,Baltic languages,28110
1951,Estonian,8784
1951,Lettish,7019
1951,Lithuanian,12307
1951,Gaelic,13974
1951,Chinese and Japanese,45878
1951,Chinese,28289
1951,Japanese,17589
1951,Croatian,11031
1951,Slovak,45516
1951,Dutch,87935
1951,Finnish,31771
1951,Flemish,12623
1951,German,329302
1951,Greek,8036
1951,Native Indian and Inuit,144787
1951,Indo-Pakistan,1731
1951,Italian,92244
1951,Maygar (Hungarian),42402
1951,Polish,129238
1951,Portuguese,150
1951,Romanian,10105
1951,Russian,39223
1951,Scandinavian,106848
1951,Danish,15714
1951,Icelandic,11207
1951,Norwegian,43831
1951,Swedish,36096
1951,Spanish,1516
1951,Syrian and Arabic,5475
1951,Ukrainian,352323
1951,Yiddish,103593
1961,English,10660534
1961,French,5123151
1961,Baltic languages,42889
1961,Estonian,13830
1961,Lettish,14062
1961,Lithuanian,14997
1961,Gaelic,32708
1961,Welsh,3040
1961,Chinese and Japanese,66955
1961,Chinese,49099
1961,Japanese,17856
1961,Croatian,28886
1961,Czech and Slovak,51423
1961,Czech,8877
1961,Slovak,42546
1961,Dutch,170177
1961,Finnish,44785
1961,Flemish,14304
1961,German,563713
1961,Greek,40455
1961,Native Indian and Inuit,166531
1961,Indo-Pakistan,4505
1961,Italian,339626
1961,Maygar (Hungarian),85939
1961,Polish,161720
1961,Portuguese,18213
1961,Romanian,10165
1961,Russian,42903
1961,Scandinavian,116714
1961,Danish,35035
1961,Icelandic,8993
1961,Norwegian,40054
1961,Swedish,32632
1961,Spanish,6720
1961,Syrian and Arabic,12999
1961,Ukrainian,361496
1961,Yiddish,82448
1971,English,12973810
1971,French,5793650
1971,Baltic languages,43385
1971,Estonian,14520
1971,Lettish,14140
1971,Lithuanian,14725
1971,Celtic languages,24360
1971,Gaelic,21200
1971,Welsh,3160
1971,Chinese and Japanese,111745
1971,Chinese,94855
1971,Japanese,16890
1971,Croatian,26085
1971,Slovenian,6415
1971,Yugoslav,41690
1971,Czech and Slovak,45150
1971,Czech,27780
1971,Slovak,17370
1971,Dutch,144925
1971,Finnish,36725
1971,Flemish,14240
1971,German,561085
1971,Greek,104455
1971,Native Indian and Inuit,179820
1971,Native Indian,164525
1971,Inuit (Eskimo),15295
1971,Indo-Pakistan,32555
1971,Italian,538360
1971,Maygar (Hungarian),86835
1971,Polish,134780
1971,Portuguese,86925
1971,Romanian,11300
1971,Russian,31745
1971,Scandinavian,84335
1971,Danish,27395
1971,Icelandic,7860
1971,Norwegian,27405
1971,Swedish,21680
1971,Semitic languages,28550
1971,Spanish,23815
1971,Syrian and Arabic,28550
1971,Ukrainian,309855
1971,Yiddish,49890
